date,high,low,close,volume
1341522000000.0,3.7764,8.7275,3.3568,13526700
1341781200000.0,8.3914,8.5599,3.7764,11175161
1342386000000.0,5.6892,10.0697,5.6726,32537130
1342990800000.0,6.3275,7.2844,5.706,32541750
1343595600000.0,6.1766,7.1666,6.1766,18797425
1344200400000.0,6.8648,6.9647,6.0089,13273656
1344805200000.0,8.4589,8.6598,6.6794,22746700
1345582800000.0,9.2305,9.7344,8.3914,14407260
1346014800000.0,9.7677,9.9353,7.9215,17937850
1346619600000.0,11.5138,12.2187,9.3648,19908380
1347224400000.0,11.8159,12.4196,11.3119,10737032
1347829200000.0,10.9765,13.1245,10.5736,23440610
1348434000000.0,6.3275,11.2785,6.0587,50972940
1349038800000.0,4.1117,6.8137,3.7254,44533030
1349643600000.0,3.068,4.1451,2.6649,39518240
1350248400000.0,2.6381,3.2429,2.437,27259230
1350853200000.0,2.5714,2.6789,2.5511,3242619
1351548000000.0,2.437,2.7456,2.4232,9414930
1352066400000.0,2.2962,2.4575,2.2287,8847640
1352671200000.0,2.2157,2.3963,2.162,5573785
1353276000000.0,2.262,2.4168,2.1887,9456652
1353880800000.0,2.2287,2.3027,2.2157,5511396
1354485600000.0,2.1815,2.2554,2.1684,2436961
1355090400000.0,2.2824,2.7188,2.1481,32754842
1355695200000.0,2.2351,2.4306,2.2157,14534142
1356300000000.0,2.2083,2.2889,2.1887,5706985
1356904800000.0,2.2083,2.2889,2.1953,4230676
1357509600000.0,2.1953,2.2426,2.1887,3345866
1358114400000.0,2.1953,2.2491,2.1953,4614790
1358719200000.0,2.2018,2.2554,2.175,4258413
1359324000000.0,2.0611,2.222,2.0138,2846016
1359928800000.0,2.0546,2.1212,2.0072,2670650
1360533600000.0,2.262,2.4974,2.0341,24638530
1361138400000.0,2.0211,2.3231,2.0211,9614174
1361743200000.0,2.1083,2.1887,2.0211,5652253
1362348000000.0,2.0944,2.1815,2.0814,4676347
1362952800000.0,2.1351,2.2351,2.0611,9603235
1363557600000.0,2.1083,2.1684,2.0878,3275639
1364162400000.0,2.1147,2.1953,2.0878,4384904
1364763600000.0,2.1083,2.1815,2.1008,2974422
1365368400000.0,2.1212,2.175,2.1008,3016822
1365973200000.0,2.0878,2.1278,2.0611,2736753
1366578000000.0,2.2083,2.4168,2.0878,11023801
1367182800000.0,2.1684,2.4168,2.1481,7214612
1367787600000.0,2.175,2.2491,2.1545,2977112
1368392400000.0,2.1684,2.2083,2.162,2507969
1368997200000.0,2.162,2.3834,2.1416,6486318
1369602000000.0,2.0878,2.1684,2.0748,2522867
1370206800000.0,2.0878,2.1212,1.9138,3280288
1370811600000.0,2.0878,2.1278,2.0138,2053358
1371416400000.0,2.1416,2.1815,2.0072,2681528
1372021200000.0,2.1212,2.1953,2.1008,4587718
1372626000000.0,2.0674,2.1416,2.0481,1154413
1373230800000.0,2.0674,2.0814,2.0138,1306027
1373835600000.0,2.1083,2.162,2.0546,2104183
1374440400000.0,2.0611,2.1416,2.0546,1171764
1375045200000.0,2.0611,2.0944,2.0276,608162
1375650000000.0,2.0814,2.1351,2.0481,638406
1376254800000.0,2.1083,2.2824,2.0611,4421915
1376859600000.0,2.0276,2.1008,2.0072,1007274
1377464400000.0,1.9536,2.0674,1.8795,1089081
1378069200000.0,1.8666,1.9869,1.8599,720925
1378674000000.0,1.9063,1.9406,1.8599,1370329
1379278800000.0,1.9943,2.1147,1.8998,4274104
1379883600000.0,1.96,2.0276,1.9406,2091971
1380488400000.0,1.96,1.9943,1.9138,1443301
1381093200000.0,1.9536,1.9805,1.9267,889918
1381698000000.0,1.96,1.96,1.9406,40100
1382302800000.0,2.0546,2.1083,1.96,3115568
1382911200000.0,2.0211,2.162,2.0072,2717344
1383516000000.0,1.9739,2.2018,1.9739,10212158
1384120800000.0,1.9674,2.0072,1.8868,2024388
1384725600000.0,1.96,2.0007,1.9202,1465150
1385330400000.0,1.9406,1.9869,1.9267,876380
1385935200000.0,1.8998,1.9536,1.8729,1089241
1386540000000.0,1.9267,1.9536,1.8868,1990179
1387144800000.0,1.9943,2.1351,1.7655,8708614
1387749600000.0,1.8462,2.1147,1.772,6112424
1388354400000.0,2.0674,2.0944,1.8795,3313480
1388959200000.0,2.0406,2.162,1.9869,2533371
1389564000000.0,2.0481,2.2018,2.0072,3181113
1390168800000.0,1.9943,2.0748,1.9805,1622343
1390773600000.0,2.0072,2.1083,1.9739,1057754
1391378400000.0,1.9943,2.0674,1.9536,1380808
1391983200000.0,1.9869,2.0138,1.9471,1021548.5
1392588000000.0,2.0007,2.0481,1.9332,1115666
1393192800000.0,1.96,2.0276,1.9332,1086916
1393797600000.0,1.9471,1.9869,1.9406,678577
1394402400000.0,1.8961,1.9906,1.8832,762527
1395007200000.0,1.9805,1.9971,1.7655,1203982
1395612000000.0,2.0481,2.0573,1.9739,1939556
1396216800000.0,2.0748,2.1722,2.0138,1624023
1396818000000.0,2.1914,2.276,2.0546,2028011
1397422800000.0,2.0406,2.2083,2.0239,1659343
1398027600000.0,1.9805,2.0481,1.9637,715523
1398632400000.0,1.9768,2.0034,1.9304,604657
1399237200000.0,1.9805,2.0072,1.9637,463571
1399842000000.0,1.9499,1.9971,1.9332,265353
1400533200000.0,1.9471,1.9943,1.9433,385569
1401051600000.0,1.9674,2.0072,1.9471,532603
1401656400000.0,1.9768,1.9971,1.9572,466067
1402261200000.0,2.0034,2.0406,1.9063,810119
1402866000000.0,2.0138,2.0276,1.9768,429798
1403470800000.0,2.2351,2.259,2.0034,2677156
1404075600000.0,2.2287,2.5344,2.1815,4838455
1404680400000.0,1.9267,2.1815,1.9138,2682343
1405285200000.0,2.0239,2.1518,1.9063,1763027
1405890000000.0,1.9842,2.0406,1.9805,507281
1406754000000.0,1.9536,2.0034,1.9471,149933
1407099600000.0,1.9202,1.9768,1.8896,262453.3
1407704400000.0,1.8729,1.9471,1.8628,246926.7
1408309200000.0,1.8628,1.8932,1.8462,198925.9
1408914000000.0,1.9368,2.0072,1.8599,543832
1409518800000.0,1.9702,2.0138,1.9267,395183.6
1410123600000.0,1.9702,2.0072,1.9536,455496
1410728400000.0,1.9471,2.1481,1.9332,357907
1411333200000.0,1.9202,1.96,1.9036,169763.5
1411938000000.0,2.175,2.1786,1.9138,711136
1412715600000.0,2.1914,2.2157,2.1008,274431.8
1413147600000.0,2.2491,2.2824,2.1545,609531
1413752400000.0,2.5381,2.6818,2.2325,2092691
1414360800000.0,2.6251,2.7724,2.4843,1951485
1414965600000.0,2.7019,2.7622,2.5176,868538
1415570400000.0,2.6483,2.8696,2.6048,664952
1416175200000.0,2.7391,2.826,2.5241,1133471.5
1416780000000.0,3.0382,3.1189,2.6186,1360845
1417384800000.0,2.9975,3.2892,2.8863,1911860
1417989600000.0,3.1485,3.4272,2.9669,2464240
1418594400000.0,3.1855,3.3097,2.7427,726990
1419199200000.0,3.3531,3.4912,3.1318,1717676
1419804000000.0,3.5279,3.6921,3.3097,2581493.2
1420408800000.0,3.4509,3.7929,3.0882,4743689.45
1421013600000.0,3.6587,3.8265,3.4104,2616250.05
1421618400000.0,3.6958,3.7929,3.6084,931554.2
1422223200000.0,3.6756,3.8066,3.4843,960261.75
1422828000000.0,3.7593,3.961,3.6286,3671837.05
1423432800000.0,3.7225,3.7863,3.4943,1145571.2
1424037600000.0,3.7258,3.9274,3.5212,1620708.05
1424642400000.0,3.6251,3.6923,3.558,779917.45
1425247200000.0,3.6486,3.82,3.36,857802.75
1425852000000.0,3.491,3.565,3.2862,580530.8
1426456800000.0,3.558,3.7427,3.2326,333904.5
1427061600000.0,3.7258,3.7796,3.3836,654410.7
1427662800000.0,3.6923,3.9407,3.4204,981264.3
1428267600000.0,4.2128,4.4842,3.3514,895362.1
1428872400000.0,4.1098,4.3532,3.9179,1150497.65
1429477200000.0,4.1659,4.1659,4.0442,589990.2
1430082000000.0,4.2081,4.5311,3.9553,985041
1430686800000.0,4.0724,4.2128,3.9366,514150.3
1431291600000.0,4.2081,4.2081,3.9881,506784.4
1431896400000.0,4.8679,5.0272,4.0582,554233.25
1432501200000.0,4.9149,5.0929,4.7276,2102667.05
1433106000000.0,5.1255,5.383,4.8213,3982249.25
1433710800000.0,5.2472,5.3363,4.6341,1055388.65
1434315600000.0,5.5233,5.5233,5.1537,1113993.25
1434920400000.0,5.6077,6.1506,5.1489,11837942.55
1435525200000.0,5.9727,6.0805,5.5421,6206580.65
1436130000000.0,6.3004,6.4315,5.9213,2493646.05
1436734800000.0,6.2489,6.3285,6.16,1329758.45
1437339600000.0,5.8229,6.3661,5.6263,1416273.1
1437944400000.0,5.3736,5.8978,5.2425,2333784.25
1438549200000.0,5.7153,5.8042,5.3924,1565539.45
1439154000000.0,5.7481,5.7621,5.355,1452134.6
1439758800000.0,5.8042,5.9166,5.5376,2206885.15
1440363600000.0,5.6543,6.3425,5.6169,12181303.45
1440968400000.0,5.5233,5.706,5.2892,3270130.25
1441573200000.0,5.2286,5.514,4.8915,1583656.8
1442178000000.0,5.6077,5.6639,5.1255,1471740.3
1442782800000.0,5.6543,5.706,5.5376,782908.6
1443387600000.0,5.6169,5.7576,5.5233,1538415
1443992400000.0,5.6263,5.6639,5.2425,843072.05
1444597200000.0,5.4298,5.7106,5.3363,1406376.5
1445202000000.0,4.9617,5.6169,4.8679,1978480.1
1445810400000.0,5.0929,5.3736,4.8821,1440506.85
1446411600000.0,5.397,5.6077,5.1021,1938011.75
1447020000000.0,5.1817,5.7761,4.8447,6054875.55
1447624800000.0,4.8679,5.1817,4.7089,4038210.65
1448229600000.0,4.9944,5.9914,4.4936,22120332.15
1448834400000.0,4.5388,5.3725,4.2979,10014061.54
1449439200000.0,3.8441,4.6129,3.6588,5860956.92
1450044000000.0,4.1219,4.1682,3.7885,5689385.38
1450648800000.0,4.437,4.4832,4.0757,7294851.84
1451253600000.0,4.5573,4.6222,4.3257,3627127.61
1451858400000.0,4.2609,4.5759,4.2054,2335593.34
1452463200000.0,4.0664,4.2424,3.9645,2310272.3
1453068000000.0,3.8441,4.1498,3.8256,1361473.56
1453672800000.0,3.8256,3.9553,3.7422,1657400.05
1454277600000.0,3.6311,3.9553,3.6032,2697074.66
1454882400000.0,3.2049,3.6588,3.1865,1471724.16
1455487200000.0,3.4552,3.6774,3.0013,3987948.7
1456092000000.0,3.3439,3.5292,3.2329,2470427.64
1456696800000.0,3.4087,3.4552,3.279,2229904.78
1457301600000.0,3.2513,3.4643,3.2419,2467400.62
1457906400000.0,3.3717,3.381,3.1678,2405831.02
1458511200000.0,3.7422,3.9367,3.3717,11091010.95
1459112400000.0,4.6222,4.6778,3.7237,8970714.36
1459717200000.0,4.2701,4.6778,4.2331,5855890.33
1460322000000.0,4.2886,4.4277,4.2424,2341484.32
1460926800000.0,4.3072,4.3999,4.1682,2621876.72
1461531600000.0,3.9737,4.4091,3.9553,2928564.02
1462136400000.0,3.7702,4.0107,3.5663,4081300.05
1462741200000.0,3.7515,4.1405,3.7052,6147665.37
