Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
1,Rio,1.25 CVVT Concept,?lk sahibinden emsalsiz temizlikte,2017,59,Siyah,"19 Ocak
                        2020",Kocaeli?zmit,85.000 TL
2,323,1.6 GLX,"mazda 323 1,6 LPG",1992,290,Ye?il,"11 Ocak
                        2020",AnkaraKe�i�ren,15.900 TL
3,Marea,1.6 Liberty,F?AT MAREA 1.6 L?BERTY LPG,2004,260,F�me,"22 Ocak
                        2020",Mu?laFethiye,21.500 TL
4,A3,A3 Sedan 1.6 TDI,?STANBULA MEHMET BEYE OPS?YONLANMI?TIR..,2014,139,Beyaz,"20 Ocak
                        2020",DenizliSarayk�y,146.500 TL
5,A3,A3 Sportback 1.4 TFSI,Temiz Bak?ml? A3,2010,173,Beyaz,"21 Ocak
                        2020",KonyaEre?li,86.500 TL
6,E Serisi,E 220 d Premium,KONYA HAS OTOMOT?V_EXCUL�US?VE+PREM?UM PAKET_CAMTAVA�N_VAKUM_BAY?_,2016,73,Beyaz,"20 Ocak
                        2020",KonyaKaratay,457.500 TL
7,Picanto,1.1 EX,2005 P?CANTO 1.1EX TAM OTOMAT?K LPG'L? �OK TEM?Z YEN? MUAYENEL?,2005,150,Turuncu,"19 Ocak
                        2020",?stanbulKartal,43.750 TL
8,Linea,1.3 Multijet Active Plus,104.ooo KM ORJ?NAL HATASIZ 1.3 multijet L?NEA,2011,104,G�m�? Gri,"21 Ocak
                        2020",KayseriKocasinan,47.250 TL
9,i20,1.4 CRDi Style,2018 HYUNDAI i20 1.4 CRDI STYLE PAN. - Y�KSEL?? HYUNDAI PLAZA,2018,58.849,Beyaz,"20 Ocak
                        2020",?zmirBayrakl?,119.900 TL
10,Egea,1.4 Fire Urban Plus,A?IRLAR ANIL OTOMOT?VDEN 2017 F?AT EGEA 1.4 URBAN PLUS,2017,54,Mavi,"22 Ocak
                        2020",KonyaEre?li,85.000 TL
11,Note,1.6 Tekna,sahibinde satilik,2006,191,G�m�? Gri,"12 Ocak
                        2020",?stanbulKad?k�y,51.000 TL
12,C Serisi,C 180 BlueEfficiency Avantgarde,EMEKS?ZDEN C180 AVANTGARDE OTOMAT?K HATASIZ,2011,250,Siyah,"21 Ocak
                        2020",BoluGerede,118.000 TL
13,i30,1.6 GDi Style,2013 Hyundai i30,2013,109,Beyaz,"21 Ocak
                        2020",AntalyaSerik,86.750 TL
14,Focus,1.6 TDCi Collection,Sahibinden De?i?ensiz D�?�k Km li,2011,175,Gri,"21 Ocak
                        2020",AntalyaKepez,65.750 TL
15,Fiesta,1.4 TDCi Comfort,Fiesta satista,2006,233,Beyaz,"21 Ocak
                        2020",Tekirda?�erkezk�y,36.000 TL
16,Accord,2.0 Executive,Ewlat Al?c?s?na Hay?rl? Olsun,2009,190,Siyah,"22 Ocak
                        2020",Samsun?lkad?m,83.500 TL
17,5 Serisi,525i Standart,G�NE? OTOMOT?V BMW 5.25 ?A M PAKET DE???ENS?Z KAZASIZ HATASIZ,2001,366,F�me,"16 Ocak
                        2020",?stanbulKartal,63.750 TL
18,Linea,1.4 Fire Active,110 B?N KMDE 2.C? SAH?B?NDEN L?NEA,2008,110,G�m�? Gri,"21 Ocak
                        2020",MersinYeni?ehir,41.750 TL
19,Civic,1.6i VTEC Eco Elegance,�gretmenden honda civic full + full otomatik,2012,128,F�me,"19 Ocak
                        2020",Hatay?skenderun,78.950 TL
20,A Serisi,A 200 BlueEfficiency AMG,2013 MODEL A200 AMG GECE PAKET? HATASIZ HASAR KAYITSIZ,2013,58,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,183.900 TL
21,Vectra,2.0 GLS,Sabinden Yeni Muayine S?f?r motor,1996,333,G�m�? Gri,"21 Ocak
                        2020",?stanbul�mraniye,22.500 TL
22,Getz,1.5 CRDi VGT Start,2010 HYUNDA? GETZ 1.5 CRD? VGT START,2010,357,G�m�? Gri,"21 Ocak
                        2020",Gaziantep?ehitkamil,36.750 TL
23,Astra,1.6 CDTI Design,?LK ELDEN KAZASIZ SERV?S BAKIMLI HASAR KAYITSIZ OTOMAT?K 70 B?ND,2016,70,Beyaz,"21 Ocak
                        2020",?stanbulEy�psultan,105.950 TL
24,Fiesta,1.4 TDCi Comfort,Bak?ml? Tertemiz ve Hatas?z,2003,226,Ye?il,"22 Ocak
                        2020",AfyonkarahisarMerkez,36.250 TL
25,E Serisi,E 180 AMG Premium,*AMG PAKET *BOYASIZ *NAV?GASYON *GER? G�R�? *SA?/SOL HAFIZA,2016,94,Beyaz,"11 Ocak
                        2020",AnkaraAkyurt,299.500 TL
26,Mondeo,2.0 TDCi Titanium,2008 FORD MONDEO 2.0 TDC? SELECT?VE SUNRUF DER? FULL 140 HP,2008,365,G�m�? Gri,"16 Ocak
                        2020",?stanbulBeykoz,66.750 TL
27,5 Serisi,520d Premium,?�? DI?I �OK TEM?Z,2009,199,Beyaz,"21 Ocak
                        2020",AnkaraKahramankazan,123.500 TL
28,Egea,1.3 Multijet Urban,?OK KAMPANYA 2017 F?AT EGEA URBAN FUUL+FUUL 30 DAK?KADA KRED?,2017,94,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,94.500 TL
29,A4,A4 Sedan 2.0 TDI,AUTO ?AH?DEN MASRAFSIZ AUD? A4,2010,226,Siyah,"21 Ocak
                        2020",KonyaKaratay,97.500 TL
30,3,1.6 Sport Dynamic,MASRAFSIZ BAKIMLI MAZDA 3,2005,205,?ampanya,"09 Ocak
                        2020",?stanbulBa?c?lar,47.000 TL
31,Civic,1.6i VTEC Premium,sahibinden sat?l?k taksi �?kmas? Civic premium,2016,435,Sar?,"21 Ocak
                        2020",KocaeliGebze,68.000 TL
32,A4,A4 Sedan 2.0 TDI Quattro Dynamic,INTERCITY2 2016 AUDI A4 2.0 TDI Quattro Dynamic S-Tronic,2016,64.037,Siyah,"22 Ocak
                        2020",?stanbulTuzla,270.000 TL
33,E Serisi,E 200 Komp. Avantgarde,BETA MOTORS E200 KOMP.AVANTGARDE 186BG SUNROOF+ISI�TMA+HAFIZA,2000,278,?ampanya,"21 Ocak
                        2020",DenizliMerkezefendi,116.500 TL
34,B Serisi,B 180 CDI BlueEfficiency Style,TERTEM?Z SIFIR AYARINDA,2016,49,Siyah,"20 Ocak
                        2020",?stanbulBa?c?lar,179.900 TL
35,Focus,1.6 Ghia,ford focus 2000 model,2000,250,Bordo,"21 Ocak
                        2020",AnkaraSincan,33.000 TL
36,Civic,1.6 i ES,Emircan otomotivden 1.6 ies,2000,198,?ampanya,"20 Ocak
                        2020",KocaeliGebze,38.500 TL
37,Micra,1.0 Platinum,0 KM PLATINUM / DER?N KIRMIZI / 2020 TESC?LL?,2019,0,K?rm?z?,"08 Ocak
                        2020",?stanbulMaltepe,155.500 TL
38,A6,A6 Sedan 2.0 TDI,NEC?P K���K OTOMOT?V'DEN 2011 MODEL AUD? A6 2.0TDI,2011,189,Beyaz,"21 Ocak
                        2020",KonyaSel�uklu,145.000 TL
39,Rio,1.4 CVVT Fancy,sahibinden temiz rio sd,2012,59.8,Beyaz,"12 Ocak
                        2020",?anl?urfaKarak�pr�,67.500 TL
40,Linea,1.3 Multijet Pop,"MEHMET A?KAR'DAN,2014,MO�DEL,Fiat,Linea1.3 Multijet,Pop",2014,168,Beyaz,"21 Ocak
                        2020",KonyaSel�uklu,55.500 TL
41,Civic,1.6i VTEC Elegance,ANKARANIN G�Z BEBE??..,2011,135.85,Beyaz,"20 Ocak
                        2020",AnkaraKe�i�ren,91.000 TL
42,626,2,H�MEYRA OTO DA TEM?Z ARA� YARISI PE??N YARISI VADEL? ELDE SENET,1991,360,Mavi,"04 Ocak
                        2020",?stanbul�mraniye,11.300 TL
43,A3,A3 Hatchback 1.6 FSI,Audi a3 1.6 fsi 2007 model,2007,164,Gri,"20 Ocak
                        2020",SamsunAtakum,50.500 TL
44,Astra,1.6 CD,2000 MODEL OPEL ASTRA 1.6 16V CD A?LE ARACI,2000,211,F�me,"22 Ocak
                        2020",SakaryaAdapazar?,36.500 TL
45,323,1.6 1.6i,DA?HAN OTODAN OTOMAT?K MAZDA,1991,300,Beyaz,"10 Ocak
                        2020",Kocaeli?zmit,13.250 TL
46,Focus,1.6 TDCi Trend X,BANKACIDAN 2014 MODEL FORD FOCUS,2014,105.5,Beyaz,"22 Ocak
                        2020",?stanbulKad?k�y,96.000 TL
47,Civic,1.6i VTEC Dream,HONDA C?V?C 1.6 ? VTEC DEY??ENSIZ HASAR KAYITSIZ,2013,193,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,82.500 TL
48,3 Serisi,320i Premium,FABR?KADAN YEN?S? �IKANA KADAR EN TEM?Z? BU,2007,213,Siyah,"21 Ocak
                        2020",Ayd?nEfeler,93.500 TL
49,A5,A5 Sportback 2.0 TDI Quattro Sport,TRDE BU FYATA YOK 0 KM AUD? A5 QUATTRO 40 TD? SPORT �ZEL S?PAR??,2019,1,F�me,"21 Ocak
                        2020",BursaOsmangazi,524.750 TL
50,A3,A3 Sedan 1.6 TDI,"Audi A3 Sedan- Hatas?z, Boyas?z",2014,102,Bej,"20 Ocak
                        2020",AntalyaKonyaalt?,165.000 TL
51,Picanto,1.1 EX,Sahibinden temiz ara�,2005,166,Mavi,"16 Ocak
                        2020",?stanbulPendik,32.500 TL
52,7 Serisi,730d Standart,Ya?arlar Galeri Fark?yla...BMW 7.30d Tam Dolu 163.000 Km'de BAY?,2009,163,Siyah,"20 Ocak
                        2020",KonyaKaratay,285.000 TL
53,Accent Era,1.5 CRDi-VGT Team,2008 HYUNDA? ACCENT ERA 1.5 CRD? VGT TEAM 110 HP MASRAFSIZ,2008,192,Beyaz,"21 Ocak
                        2020",AnkaraKe�i�ren,42.900 TL
54,C Serisi,C 180 AMG 9G-Tronic,CHAMPION MOTORSdan MERCEDES C180 9G-TRONIC AMG COUPE 2017 !,2017,66,F�me,"21 Ocak
                        2020",?stanbul?i?li,340.000 TL
55,C4,1.6 SX PK,de?erinde Doblo takasl? veya nakit satilik,2006,216,Kahverengi,"18 Ocak
                        2020",AnkaraEtimesgut,42.750 TL
56,C3,1.2 PureTech Feel,?LK SAH?B?NDEN HATASIZ TEM?Z D�?�K YAKIT T�KET?M?,2017,56.5,Beyaz,"20 Ocak
                        2020",Ankara�ankaya,84.500 TL
57,Tipo,1.4 S,YENI VIZELI BAKIMLI TEMIZ TIPO,1998,220,Mavi,"21 Ocak
                        2020",?zmirUrla,15.900 TL
58,Cerato,1.6 EX DSL Advance,ilk sahibinden,2008,198.25,Siyah,"13 Ocak
                        2020",Ankara�ankaya,53.500 TL
59,5 Serisi,520i Comfort,BOYASIZ DE???ENS?Z TRAMERS?Z HAYALET EKRAN EXPERT?Z GARANT?L?,2015,110,Siyah,"18 Ocak
                        2020",KocaeliKartepe,235.900 TL
60,Sonata,2.0 GLS,D�?�K KM L? SONATA OTOMAT?K,2004,185,G�m�? Gri,"21 Ocak
                        2020",BursaOrhangazi,43.500 TL
61,Elantra,1.6 D-CVVT Style,"HUNCAR,2017 HYUNDA? ELENTRA,1.6D-C�VVT,STYLE,?LK ELDEN,EMSALS?Z!",2017,28,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,118.000 TL
62,C-Elys�e,1.6 HDi  Attraction,"A?LEDEN TEM?Z, BAKIMLI YEN? MUAYENE YAKIT C?MR?S?",2016,83.5,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,69.000 TL
63,i20,1.4 CRDi Jump,�?RETMENDEN HATASIZ TERTEM?Z,2016,76,Beyaz,"21 Ocak
                        2020",GaziantepNizip,86.500 TL
64,Focus,1.5 TDCi Titanium,Ford Focus Titanyum 2017 Hatas?z Boyas?z 64000KM PowerShift,2017,64,Beyaz,"22 Ocak
                        2020",AntalyaFinike,149.000 TL
65,Fiesta,1.4 TDCi Comfort,sahibinden,2004,285,Mavi,"21 Ocak
                        2020",MersinToroslar,27.000 TL
66,Vectra,2.0 GLS,Orjinal de?i?ensiz,1996,285,Bordo,"21 Ocak
                        2020",KonyaEre?li,23.750 TL
67,A4,A4 Sedan 1.4 TFSI Dynamic,HAKAN OTO'DAN 2016 MODEL AUD? A4 SEDAN 1.4 TFS? DYNAM?C HATASIZZ,2016,38,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,239.750 TL
68,3 Serisi,320d Premium,SARIKAYA'DAN 2006 320D PREM?UM HASAR KAYITSIZ+DE???ENS?Z EKSTRAL,2006,290,Siyah,"22 Ocak
                        2020",AntalyaKonyaalt?,73.750 TL
69,Vectra,1.6 Comfort,HATASIZ-BOYASIZ-�EZ?KS?Z-�?Z?KS?Z -LEKES?Z-YANIKS�IZ-ORJ.K?LOMETRE,2008,132.695,Siyah,"22 Ocak
                        2020",K?r?kkaleMerkez,67.500 TL
70,5 Serisi,520i Business,ara� hatasiz98 model.endolusu full.paket,1998,225,Kahverengi,"21 Ocak
                        2020",U?akMerkez,44.000 TL
71,Linea,1.3 Multijet Active Plus,Ad?yamandan Acil sat?l?k,2012,207,Gri,"21 Ocak
                        2020",Ad?yamanMerkez,37.000 TL
72,Civic,1.6i VTEC Elegance,"""26.700 KM"" 2017 MODEL HONDA C?V?C ELEGANCE OTM (?LK EL,BRC LPG)",2017,26.7,Beyaz,"07 Ocak
                        2020",?zmirBornova,142.500 TL
73,3,1.6 D Touring,2012 d Touring boya hasar kayd? yok 11 favoriye te?ekk�r ederim,2012,184,Beyaz,"29 Aral?k
                        2019",Kahramanmara?G�ksun,72.000 TL
74,Egea,1.4 Fire Easy,"2018 EGEA SIFIR KOKUSU �ZER?NDE 15,500km",2018,15.5,Beyaz,"21 Ocak
                        2020",Hatay?skenderun,78.499 TL
75,Accent Blue,1.6 CRDI Biz,***/// 2014 ENES AUTO HATASIZ HYUNDA? ACCENT BLUE 1.6 CRDI///***,2014,153,Beyaz,"21 Ocak
                        2020",YozgatSorgun,71.500 TL
76,MX,MX-5 1.5,ERTEMELDEN-MX-5 POWER SPORT-BOSE-ISITMA -NAV?GASYON-4.000 KM'DE,2016,4,K?rm?z?,"31 Aral?k
                        2019",?stanbulBa?c?lar,189.750 TL
77,5 Serisi,525d xDrive  Premium,ADNAN BULUT OTOMOT?V DEN 2014 MODEL BMW 525DX DR?VE PREM?UM,2014,130,Siyah,"22 Ocak
                        2020",Denizli�ivril,305.000 TL
78,Corsa,1.3 CDTI  Enjoy,Hatas?z 94.500 kmde 6 ileri,2007,94.5,Mavi,"21 Ocak
                        2020",Diyarbak?rHani,54.000 TL
79,Micra,1.2 Platinum,CAM TAVANLI EN DOLU PAKET KAPALI GARAJ ARABASI,2012,87,Siyah,"15 Ocak
                        2020",AntalyaMuratpa?a,59.500 TL
80,Astra,1.6 Elegance,OPEL ASTRA 1.6 ELEGANCE TAM OTOMAT?K,2003,249,Siyah,"21 Ocak
                        2020",OrduAlt?nordu,41.750 TL
81,Accent Era,1.5 CRDi-VGT Team,Yak?t cimrisi Temiz alie arac?,2006,435,Siyah,"21 Ocak
                        2020",?stanbulEsenyurt,30.000 TL
82,i20 Troy,1.4 CRDi Team,Y�CEL AUTO DAN ?20 D?ZEL EKONOM?K ARA�,2011,179.3,Gri,"21 Ocak
                        2020",AnkaraKe�i�ren,55.900 TL
83,Elantra,1.6 D-CVVT Style,KUZEY GARAGE'DAN HYUNDA? ELANTRA STYLE PAKET LPG'L?...,2013,88,Beyaz,"17 Ocak
                        2020",AnkaraAkyurt,82.000 TL
84,323,1.5 Practica,TERTEM?Z YEN? MUAYENEL? MAZDA,1998,1,Ye?il,"30 Aral?k
                        2019",?stanbulG�ng�ren,22.500 TL
85,3 Serisi,320d Standart,SVN AUTO 1999 BMW 3.20d '' 190.000 km '',1999,190,Gri,"21 Ocak
                        2020",?stanbulKad?k�y,64.500 TL
86,RX,RX-8,Motor �l��m belgeli servis referansl? yer u�ag?,2006,57,K?rm?z?,"19 Ocak
                        2020",KocaeliDerince,104.000 TL
87,Accent,1.5 LS,Yaman Otomotivden Sat?l?k Accent,1998,235,Lacivert,"22 Ocak
                        2020",SakaryaGeyve,21.000 TL
88,323,1.5 1.5i,Kullan?c?ya Temiz Mazda 323 Sedan,1998,264,Ye?il,"13 Ocak
                        2020",Eski?ehirOdunpazar?,24.000 TL
89,Corsa,1.4 Twinport Enjoy,SAH?B?NDEN * OTOMAT?K * LAND?RENZO LPG,2013,69,G�m�? Gri,"22 Ocak
                        2020",Ankara�ankaya,85.500 TL
90,E Serisi,E 200 Komp. Avantgarde,ALP OTOMOT?V'DEN TR'DE TEK GIRTLAK DOLU E200 AVANGARDE,1998,382,Siyah,"10 Ocak
                        2020",OsmaniyeMerkez,65.750 TL
91,C-Elys�e,1.6 HDi  Exclusive,POZ?T?F MOTORS'TAN FULL EXCLUS?VE PAKET EKONOM?K 2022 V?ZEL?,2013,160,Beyaz,"20 Ocak
                        2020",DenizliPamukkale,56.750 TL
92,Taunus,1.6 GT,Ford Tanus temiz bakimli,1991,151.6,Bordo,"21 Ocak
                        2020",?zmirFo�a,11.800 TL
93,5 Serisi,520i Executive M Sport,'' AYDINCAN AUTO '' 2017 520? EXECUT?VE M SPORT NEXT 100 HAYALET,2017,24.7,Mavi,"11 Ocak
                        2020",AntalyaMuratpa?a,420.000 TL
94,RX,RX-8,?HT?YA� FAZLALI?I,2010,89,Beyaz,"16 Ocak
                        2020",?zmirKar??yaka,120.000 TL
95,323,1.6 1.6i,BAKIMLI MAZDA 323,1994,313,Ye?il,"02 Ocak
                        2020",DenizliHonaz,18.500 TL
96,Astra,1.6 GL,DE???ENS?Z 2000 MODEL OPEL ASTRA 1.6 16 VALF 100HP ALMAN YE??L?,2000,291,Ye?il,"21 Ocak
                        2020",KonyaIlg?n,36.750 TL
97,Primera,1.6 Comfort,2000 N?SSAN PR?MERA 1.6 LGP 147.000 KM ABS-DJ?.KL?MA-�?FT A?RBAG,2000,147,Beyaz,"21 Ocak
                        2020",AnkaraYenimahalle,36.500 TL
98,Focus,1.6 Ti-VCT Style,2016 Model Focus 1.6 Ti-VCT**otomat�ik**HATASIZ-BOY�ASIZ**TRAMERSZ,2016,150,Beyaz,"22 Ocak
                        2020",K?r?ehirMerkez,107.000 TL
99,323,1.5 1.5i,ERZ?NCAN POYRAZ OTOMOT?V G�VENCES?YLE 2000 MODEL MAZDA,2000,238,Beyaz,"06 Ocak
                        2020",ErzincanMerkez,29.950 TL
100,A4,A4 allroad quattro 2.0 TDI,SAH?B?NDEN HATASIZ BOYASIZ DE???ENS?Z SUNROOFLU BAKIMLI ORJ?NAL,2012,202,Siyah,"19 Ocak
                        2020",?stanbulBeylikd�z�,194.000 TL
101,Focus,1.6 Comfort,�?RETMENDEN OTOMAT?K FOCUS AC?L ?HT?YA�TAN,2011,140,Beyaz,"22 Ocak
                        2020",?zmirKaraba?lar,68.750 TL
102,Focus,1.5 TDCi Trend X,* 2016 * Focus 1.5 TDCI Trend X Powershift * HATASIZ *,2016,175,Beyaz,"21 Ocak
                        2020",AdanaSeyhan,104.950 TL
103,5 Serisi,520d Premium,Sahibinden 5.20d masrafs?z Full+Full,2009,365,Siyah,"21 Ocak
                        2020",DenizliSarayk�y,97.500 TL
104,Elantra,1.6 D-CVVT Style,DE???ENS?Z BOYASIZ 55 B?NDE ELENTRA,2013,55,Beyaz,"21 Ocak
                        2020",AnkaraEtimesgut,94.000 TL
105,Venga,1.4 CRDi Active,TEM?Z 2011 K?A VENGA 1.4 CRD? ACT?VE,2011,199,G�m�? Gri,"21 Ocak
                        2020",AdanaSeyhan,42.750 TL
106,Linea,1.3 Multijet Urban,ilk sahibinden ORJINAL 86000km,2013,86,Beyaz,"22 Ocak
                        2020",BatmanMerkez,55.500 TL
